Type of Monitoring,Appointments Interval,RPM Recall,Critical Death Rate,ICU Death Rate,Early Diagnoses Rate,Criticality Reversal Rate,Mean ICU Occupancy,Max ICU Occupacy,Mean ICU Stay,Max Number of Early Diagnoses
LOCAL,112,NONE,0.15500390725060265,0.16594864444687088,0.47848913570346774,0.0496440951387241,171.00848219178084,271.3,21.99838707802168,14.6
LOCAL,140,NONE,0.16388258811452122,0.17385510166389145,0.39127721451097563,0.039287353200029906,173.50694794520547,283.3,22.475778887281944,13.2
LOCAL,168,NONE,0.16863497009338493,0.17791171544273854,0.32794374770503765,0.03303602606981036,175.8814794520548,289.8,22.82752692489951,11.6
LOCAL,196,NONE,0.17240010819889834,0.18109683193047302,0.28134925773108976,0.028207838683615295,177.61137534246575,291.3,23.073031302191385,10.7
LOCAL,224,NONE,0.17688404763844054,0.1852529557949308,0.24631078436587278,0.024787586256549688,178.02402191780823,299.6,23.232547291499806,9.4
LOCAL,252,NONE,0.17779943896783554,0.18580454523425188,0.22176199691809667,0.022322109487540175,179.4020493150685,300.9,23.3747952289752,8.8
LOCAL,28,NONE,0.0924378696575565,0.10548971396914208,0.9285046887596424,0.1323602148399448,141.80360547945207,214.0,17.575199678227197,22.5
LOCAL,280,NONE,0.18096224485617024,0.1888585684017793,0.19883434169228348,0.02034096519904712,179.17655890410958,303.2,23.47900931806755,8.6
LOCAL,56,NONE,0.12407763532025669,0.1369238368706572,0.7505532590661879,0.08738174218858397,158.43435616438356,248.9,19.96930152584582,19.5
LOCAL,84,NONE,0.1439717984966547,0.15597496906317415,0.5935242087314818,0.06414602703277338,166.2349589041096,262.4,21.228482772849667,16.4
NONE,NONE,NONE,0.19901723575318422,0.20375658814372355,0.0,0.0,184.01799452054794,314.8,24.456114103374066,0.0
REMOTE,NONE,0.5,0.14783336401352704,0.15935989556744093,0.5129847384411067,0.06082729644224496,166.90675068493152,270.1,21.422450114336492,15.4
REMOTE,NONE,0.55,0.14121693922253192,0.15310560762218897,0.5639611957886932,0.06834343442024776,165.11185753424655,262.0,21.044783368575203,15.7
REMOTE,NONE,0.6,0.13561537317075342,0.14804842984233907,0.6171742176175257,0.0768715871069934,161.69627397260274,256.6,20.609226249495297,17.0
REMOTE,NONE,0.65,0.12887212533489315,0.14154339547358422,0.6681218168247784,0.0852799684705424,159.2705205479452,251.8,20.1750335675162,18.1
REMOTE,NONE,0.7,0.12280655596553629,0.13577572076957356,0.7203971605124634,0.0934798245611868,155.59571506849315,241.3,19.676032898104843,19.1
REMOTE,NONE,0.75,0.11498046094924397,0.12810879310748344,0.7723896235271038,0.10420852080939477,152.46448219178083,235.3,19.168692237599068,20.0
REMOTE,NONE,0.8,0.10751599119931095,0.12076710063911075,0.8245529100771032,0.11494735680491323,148.24140273972603,228.9,18.58061423214806,21.2
REMOTE,NONE,0.85,0.0990682981369292,0.11225429397191314,0.8767021267643422,0.12708452175187615,143.3476383561644,221.9,17.891316628134,21.6
REMOTE,NONE,0.9,0.08884982768273747,0.10179705110439866,0.9303992526250877,0.14246348844195134,137.56075616438358,204.7,17.089810604948603,22.2
REMOTE,NONE,0.95,0.0762324798268532,0.08855415397796905,0.985034777973216,0.16192773544779954,129.27420273972604,193.4,15.980967402604213,24.2
